Filename,Step,Neutron Flux,Neutron Flux Change,
specific_data_174.npz,999,3.308300653942879e-05,-4.17E-05,-8.59925E-06
specific_data_175.npz,999,0.017609560915389517,-0.02156619,-0.003956629
specific_data_176.npz,999,9.303041482620288e-05,-0.000116184,-2.31539E-05
specific_data_177.npz,999,2.3975744373116006e-05,-3.03E-05,-6.28043E-06
specific_data_178.npz,999,1.3285233773615346e-05,-1.68E-05,-3.5138E-06
specific_data_179.npz,999,8.974994280807058e-06,-1.14E-05,-2.38349E-06
specific_data_180.npz,999,0.001532607,-0.001938417,-0.00040581
specific_data_181.npz,999,0.083491616,-0.080703542,0.002788075
specific_data_182.npz,999,3.694161522515992e-05,-4.65E-05,-9.5717E-06
specific_data_183.npz,999,1.666690456200577e-05,-2.11E-05,-4.39449E-06
specific_data_184.npz,999,1.0468734021688406e-05,-1.32E-05,-2.77623E-06
specific_data_185.npz,999,0.001365761,-0.001721479,-0.000355719
specific_data_186.npz,999,0.020528408,-0.024986978,-0.00445857
specific_data_187.npz,999,7.931021040069175e-05,-9.92E-05,-1.9918E-05
specific_data_188.npz,999,2.2334878199343148e-05,-2.82E-05,-5.85908E-06
specific_data_189.npz,999,1.2553378768762504e-05,-1.59E-05,-3.32252E-06
specific_data_190.npz,999,0.000407305,-0.000515611,-0.000108306
specific_data_191.npz,999,0.001470422,-0.001859673,-0.000389252
specific_data_192.npz,999,0.004467277,-0.005011792,-0.000544514
specific_data_193.npz,999,3.376739161992126e-05,-4.25E-05,-8.77217E-06
specific_data_194.npz,999,1.5665159235263172e-05,-1.98E-05,-4.13418E-06
specific_data_195.npz,999,0.000276801,-0.000350475,-7.36734E-05
specific_data_196.npz,999,0.002148876,-0.002699834,-0.000550959
specific_data_197.npz,999,0.029977128342753484,-0.036035676,-0.006058547
specific_data_198.npz,999,6.844474981944804e-05,-8.58E-05,-1.73184E-05
specific_data_199.npz,999,2.0808248655845908e-05,-2.63E-05,-5.46603E-06
specific_data_200.npz,999,0.025505959835100633,-0.026279416,-0.000773456
specific_data_201.npz,999,3.759486245619849e-05,-4.73E-05,-9.7358E-06
specific_data_202.npz,999,1.7121596093220724e-05,-2.16E-05,-4.51251E-06
specific_data_203.npz,999,1.0794687885111714e-05,-1.37E-05,-2.86178E-06
specific_data_204.npz,999,7.723419776186781e-06,-9.78E-06,-2.0536E-06
specific_data_205.npz,999,0.027636246319639846,-0.033292309,-0.005656063
specific_data_206.npz,999,7.931012690077656e-05,-9.92E-05,-1.99179E-05
specific_data_207.npz,999,2.2887696314909736e-05,-2.89E-05,-6.00118E-06
specific_data_208.npz,999,1.2931936687103609e-05,-1.64E-05,-3.4215E-06
specific_data_209.npz,999,8.806864846647078e-06,-1.11E-05,-2.33923E-06
specific_data_210.npz,999,0.001526577,-0.001930088,-0.000403511
specific_data_211.npz,999,0.002526745,-0.002901801,-0.000375056
specific_data_212.npz,999,3.4431979119256704e-05,-4.34E-05,-8.93991E-06
specific_data_213.npz,999,1.611483949684083e-05,-2.04E-05,-4.2511E-06
specific_data_214.npz,999,1.024047703902189e-05,-1.30E-05,-2.7163E-06
specific_data_215.npz,999,0.005979926,-0.007418385,-0.001438459
specific_data_216.npz,999,0.031045999,-0.037270329,-0.00622433
specific_data_217.npz,999,6.875955348720454e-05,-8.62E-05,-1.73942E-05
specific_data_218.npz,999,2.1356037440282865e-05,-2.70E-05,-5.6072E-06
specific_data_219.npz,999,1.222646029437436e-05,-1.55E-05,-3.23701E-06
specific_data_220.npz,999,0.000475958,-0.000602413,-0.000126454
specific_data_221.npz,999,0.001648117,-0.002082695,-0.000434578
specific_data_222.npz,999,0.000810715,-0.000968264,-0.000157549
specific_data_223.npz,999,3.1587716701929515e-05,-3.98E-05,-8.2209E-06
specific_data_224.npz,999,1.5159502518513509e-05,-1.92E-05,-4.00262E-06
specific_data_225.npz,999,7.931004863053959e-05,-9.92E-05,-1.99179E-05
specific_data_226.npz,999,2.3430051082820402e-05,-2.96E-05,-6.14046E-06
specific_data_227.npz,999,1.3306333323327584e-05,-1.68E-05,-3.51933E-06
specific_data_228.npz,999,9.087923405467568e-06,-1.15E-05,-2.41323E-06
specific_data_229.npz,999,6.777055872249435e-06,-8.58E-06,-1.80363E-06
specific_data_230.npz,999,0.001664676,-0.001941751,-0.000277075
specific_data_231.npz,999,3.507760742082411e-05,-4.42E-05,-9.1027E-06
specific_data_232.npz,999,1.655834518157454e-05,-2.09E-05,-4.36632E-06
specific_data_233.npz,999,1.0560317977030203e-05,-1.34E-05,-2.80028E-06
specific_data_234.npz,999,7.59873978918297e-06,-9.62E-06,-2.0207E-06
specific_data_235.npz,999,0.030856126542238852,-0.037013008,-0.006156881
specific_data_236.npz,999,6.905663061592996e-05,-8.65E-05,-1.74657E-05
specific_data_237.npz,999,2.189383069268831e-05,-2.76E-05,-5.74566E-06
specific_data_238.npz,999,1.2596921552808557e-05,-1.59E-05,-3.33393E-06
specific_data_239.npz,999,8.644895163530551e-06,-1.09E-05,-2.29658E-06
specific_data_240.npz,999,0.001910637,-0.002412085,-0.000501449
specific_data_241.npz,999,0.000661112,-0.00079426,-0.000133148
specific_data_242.npz,999,3.223974784257927e-05,-4.06E-05,-8.38603E-06
specific_data_243.npz,999,1.5598121457648144e-05,-1.97E-05,-4.11676E-06
specific_data_244.npz,999,1.0021942763532986e-05,-1.27E-05,-2.6589E-06
specific_data_245.npz,999,0.1587810878640125,-0.175339753,-0.016558665
specific_data_246.npz,999,0.032773812,-0.039157621,-0.006383809
specific_data_247.npz,999,6.06504456191324e-05,-7.61E-05,-1.54322E-05
specific_data_248.npz,999,2.0459171793813253e-05,-2.58E-05,-5.37604E-06
specific_data_249.npz,999,1.1916117859076411e-05,-1.51E-05,-3.15578E-06
specific_data_250.npz,999,0.000558639,-0.000706836,-0.000148196
specific_data_251.npz,999,0.018525063,-0.022504686,-0.003979623
specific_data_252.npz,999,0.000113823,-0.00014179,-2.79668E-05
specific_data_253.npz,999,2.4587644161767543e-05,-3.10E-05,-6.43722E-06
specific_data_254.npz,999,1.326250051506676e-05,-1.68E-05,-3.50784E-06
specific_data_255.npz,999,0.000314927,-0.000398728,-8.38012E-05
specific_data_256.npz,999,0.004205434,-0.005298203,-0.001092769
specific_data_257.npz,999,0.089673038,-0.097029199,-0.007356161
specific_data_258.npz,999,3.916422940470313e-05,-4.93E-05,-1.01292E-05
specific_data_259.npz,999,1.6784643857835476e-05,-2.12E-05,-4.42503E-06
specific_data_260.npz,999,0.000240773,-0.000304864,-6.40908E-05
specific_data_261.npz,999,0.000622077,-0.00078688,-0.000164803
specific_data_262.npz,999,0.034994776,-0.041914677,-0.0069199
specific_data_263.npz,999,9.414704768221635e-05,-0.000117562,-2.3415E-05
specific_data_264.npz,999,2.2827375110057206e-05,-2.88E-05,-5.98563E-06
specific_data_265.npz,999,0.000198811,-0.000251732,-5.29218E-05
specific_data_266.npz,999,0.000327075,-0.0004141,-8.70252E-05
specific_data_267.npz,999,0.002220337,-0.00280619,-0.000585853
specific_data_268.npz,999,0.19660644643269937,-0.19219957,0.004406877
specific_data_269.npz,999,3.557194197473287e-05,-4.48E-05,-9.22712E-06
specific_data_270.npz,999,0.00016869,-0.000213595,-4.49041E-05
specific_data_271.npz,999,0.000245172,-0.000310433,-6.52613E-05
specific_data_272.npz,999,0.000713868,-0.000902602,-0.000188734
specific_data_273.npz,999,0.019067566891583936,-0.023337958,-0.004270391
specific_data_274.npz,999,7.93090358344226e-05,-9.92E-05,-1.99177E-05
specific_data_275.npz,999,0.002244086,-0.002835941,-0.000591855
specific_data_276.npz,999,0.12040011078548973,-0.126101391,-0.005701281
specific_data_277.npz,999,3.984205206156771e-05,-5.01E-05,-1.02989E-05
specific_data_278.npz,999,1.7257989952051565e-05,-2.18E-05,-4.54786E-06
specific_data_279.npz,999,1.0707344442965868e-05,-1.35E-05,-2.83885E-06
specific_data_280.npz,999,0.00076305,-0.00096454,-0.00020149
specific_data_281.npz,999,0.022432454,-0.027321235,-0.004888781
specific_data_282.npz,999,9.356603644374424e-05,-0.000116845,-2.32792E-05
specific_data_283.npz,999,2.3407298215984328e-05,-2.95E-05,-6.13457E-06
specific_data_284.npz,999,1.2898191362859977e-05,-1.63E-05,-3.41267E-06
specific_data_285.npz,999,0.000354876,-0.00044928,-9.4404E-05
specific_data_286.npz,999,0.001705305,-0.002156616,-0.000451311
specific_data_287.npz,999,0.19385968316002658,-0.182054673,0.01180501
specific_data_288.npz,999,3.626742694905056e-05,-4.57E-05,-9.40218E-06
specific_data_289.npz,999,1.620558728459332e-05,-2.05E-05,-4.27466E-06
specific_data_290.npz,999,0.000257423,-0.000325944,-6.8521E-05
specific_data_291.npz,999,0.000928625,-0.001172907,-0.000244282
specific_data_292.npz,999,0.016873717517401826,-0.020685316,-0.003811599
specific_data_293.npz,999,7.930898706312855e-05,-9.92E-05,-1.99177E-05
specific_data_294.npz,999,2.1771174603399276e-05,-2.75E-05,-5.71405E-06
specific_data_295.npz,999,0.000210963,-0.00026712,-5.61567E-05
specific_data_296.npz,999,0.000371811,-0.000470708,-9.88969E-05
specific_data_297.npz,999,0.001500494,-0.001897948,-0.000397454
specific_data_298.npz,999,0.010047863,-0.010860423,-0.00081256
specific_data_299.npz,999,3.3082733567296804e-05,-4.17E-05,-8.59918E-06
specific_data_300.npz,999,0.017640811968220087,-0.021603578,-0.003962766
specific_data_301.npz,999,9.302878820437288e-05,-0.000116182,-2.31535E-05
specific_data_302.npz,999,2.397560636568235e-05,-3.03E-05,-6.28039E-06
specific_data_303.npz,999,1.3285188244676576e-05,-1.68E-05,-3.51379E-06
specific_data_304.npz,999,8.974972369777644e-06,-1.14E-05,-2.38349E-06
specific_data_305.npz,999,0.001534749,-0.001941124,-0.000406375
specific_data_306.npz,999,0.083486126,-0.080698264,0.002787862
specific_data_307.npz,999,3.694130126851177e-05,-4.65E-05,-9.57162E-06
specific_data_308.npz,999,1.6666833819994004e-05,-2.11E-05,-4.39447E-06
specific_data_309.npz,999,1.0468704413513881e-05,-1.32E-05,-2.77622E-06
specific_data_310.npz,999,0.001354902,-0.001707875,-0.000352972
specific_data_311.npz,999,0.020477207526313445,-0.024926535,-0.004449327
specific_data_312.npz,999,7.93089415424788e-05,-9.92E-05,-1.99177E-05
specific_data_313.npz,999,2.233475368192634e-05,-2.82E-05,-5.85905E-06
specific_data_314.npz,999,1.2553336566190655e-05,-1.59E-05,-3.32251E-06
specific_data_315.npz,999,0.000406689,-0.000514833,-0.000108143
specific_data_316.npz,999,0.001470858,-0.001860228,-0.00038937
specific_data_317.npz,999,0.004466884,-0.005011357,-0.000544473
specific_data_318.npz,999,3.376711765054658e-05,-4.25E-05,-8.77209E-06
specific_data_319.npz,999,1.5665094304533505e-05,-1.98E-05,-4.13416E-06
specific_data_320.npz,999,0.000276561,-0.00035017,-7.36095E-05
specific_data_321.npz,999,0.002122529,-0.002667005,-0.000544476
specific_data_322.npz,999,0.029944573229053202,-0.035997262,-0.006052689
specific_data_323.npz,999,6.844374138201185e-05,-8.58E-05,-1.73182E-05
specific_data_324.npz,999,2.0808136191068054e-05,-2.63E-05,-5.466E-06
specific_data_325.npz,999,0.025503906925301082,-0.026277325,-0.000773418
specific_data_326.npz,999,3.759454844940235e-05,-4.73E-05,-9.73572E-06
specific_data_327.npz,999,1.71215240458118e-05,-2.16E-05,-4.51249E-06
specific_data_328.npz,999,1.0794657532016689e-05,-1.37E-05,-2.86177E-06
specific_data_329.npz,999,7.723403457762659e-06,-9.78E-06,-2.05359E-06
specific_data_330.npz,999,0.027577012561152664,-0.033222988,-0.005645975
specific_data_331.npz,999,7.930889897343024e-05,-9.92E-05,-1.99176E-05
specific_data_332.npz,999,2.288757015265559e-05,-2.89E-05,-6.00115E-06
specific_data_333.npz,999,1.2931893509326132e-05,-1.64E-05,-3.42149E-06
specific_data_334.npz,999,8.806843744097552e-06,-1.11E-05,-2.33923E-06
specific_data_335.npz,999,0.001525828,-0.001929148,-0.000403321
specific_data_336.npz,999,0.002526548,-0.002901578,-0.000375029
specific_data_337.npz,999,3.4431704345412205e-05,-4.34E-05,-8.93984E-06
specific_data_338.npz,999,1.611477326278333e-05,-2.04E-05,-4.25108E-06
specific_data_339.npz,999,1.0240448694912656e-05,-1.30E-05,-2.71629E-06
specific_data_340.npz,999,0.005826795,-0.007231556,-0.001404761
specific_data_341.npz,999,0.031058865,-0.037284721,-0.006225856
specific_data_342.npz,999,6.875857057241119e-05,-8.62E-05,-1.7394E-05
specific_data_343.npz,999,2.135592327459713e-05,-2.70E-05,-5.60717E-06
specific_data_344.npz,999,1.2226420229085997e-05,-1.55E-05,-3.23699E-06
specific_data_345.npz,999,0.000475109,-0.00060134,-0.00012623
specific_data_346.npz,999,0.001645961,-0.002079988,-0.000434027
specific_data_347.npz,999,0.000810668,-0.000968208,-0.00015754
specific_data_348.npz,999,3.158747540724628e-05,-3.98E-05,-8.22084E-06
specific_data_349.npz,999,1.5159441627509847e-05,-1.92E-05,-4.0026E-06
specific_data_350.npz,999,7.930885907585399e-05,-9.92E-05,-1.99176E-05
specific_data_351.npz,999,2.3429923369732094e-05,-2.96E-05,-6.14043E-06
specific_data_352.npz,999,1.3306289197210163e-05,-1.68E-05,-3.51932E-06
specific_data_353.npz,999,9.087901737194401e-06,-1.15E-05,-2.41323E-06
specific_data_354.npz,999,6.777043250025056e-06,-8.58E-06,-1.80362E-06
specific_data_355.npz,999,0.001664562,-0.001941619,-0.000277057
specific_data_356.npz,999,3.507733201923141e-05,-4.42E-05,-9.10263E-06
specific_data_357.npz,999,1.6558277690952115e-05,-2.09E-05,-4.36631E-06
specific_data_358.npz,999,1.0560288913383688e-05,-1.34E-05,-2.80028E-06
specific_data_359.npz,999,7.598723992400023e-06,-9.62E-06,-2.02069E-06
specific_data_360.npz,999,0.030861095612273584,-0.037018549,-0.006157453
specific_data_361.npz,999,6.905567199410632e-05,-8.65E-05,-1.74655E-05
specific_data_362.npz,999,2.1893714915930985e-05,-2.76E-05,-5.74563E-06
specific_data_363.npz,999,1.2596880548744396e-05,-1.59E-05,-3.33392E-06
specific_data_364.npz,999,8.64487482550714e-06,-1.09E-05,-2.29657E-06
specific_data_365.npz,999,0.001906528,-0.002406934,-0.000500406
specific_data_366.npz,999,0.000661077,-0.000794218,-0.000133141
specific_data_367.npz,999,3.2239505373612825e-05,-4.06E-05,-8.38596E-06
specific_data_368.npz,999,1.5598059314322424e-05,-1.97E-05,-4.11675E-06
specific_data_369.npz,999,1.0021915604299e-05,-1.27E-05,-2.65889E-06
specific_data_370.npz,999,0.17581585810281927,-0.192403959,-0.016588101
specific_data_371.npz,999,0.032769248,-0.039152183,-0.006382935
specific_data_372.npz,999,6.064966250840875e-05,-7.61E-05,-1.5432E-05
specific_data_373.npz,999,2.0459066742411736e-05,-2.58E-05,-5.37601E-06
specific_data_374.npz,999,1.1916079772806874e-05,-1.51E-05,-3.15577E-06
specific_data_375.npz,999,0.000558165,-0.000706236,-0.000148072
