simulation_index,step,time,point_index,z,C1,C2,C3,C4,C5,C6
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,3.200000000000000000e+01,2.765829145728643113e+01,8.751914695245424286e+06,2.538006472182830423e+07,1.107353509328823909e+07,6.128839731681467034e+06,2.763622373985131271e+05,6.733668573443565401e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,3.300000000000000000e+01,2.852261306532663099e+01,9.269818743189062923e+06,2.675173409348960221e+07,1.151609744687487558e+07,6.331429845855685882e+06,2.844776307224742486e+05,6.927383038539702829e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,3.400000000000000000e+01,2.938693467336683440e+01,9.800444082022789866e+06,2.814642897708182409e+07,1.195755572055692784e+07,6.532469423201191239e+06,2.925222444281554781e+05,7.119373901301329897e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,3.500000000000000000e+01,3.025125628140703427e+01,1.034357958493729122e+07,2.956316417489992455e+07,1.239763277576600574e+07,6.731903358078544959e+06,3.004940745127947885e+05,7.309593333549734962e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,3.600000000000000000e+01,3.111557788944723413e+01,1.089901142673539929e+07,3.100096271542436630e+07,1.283606769499168545e+07,6.929677971515050158e+06,3.083911350172878592e+05,7.497993946274800692e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,3.700000000000000000e+01,3.197989949748743754e+01,1.146652313523718528e+07,3.245885580223524198e+07,1.327261433841432445e+07,7.125740814195908606e+06,3.162114585220896406e+05,7.684528801491363265e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,3.800000000000000000e+01,3.284422110552763741e+01,1.204589564318115450e+07,3.393588276683934033e+07,1.370704004009414837e+07,7.320040512180876918e+06,3.239530966389372479e+05,7.869151423980644904e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,3.900000000000000000e+01,3.370854271356783727e+01,1.263690734054137580e+07,3.543109102515012026e+07,1.413912443042575940e+07,7.512526646584363654e+06,3.316141204979838803e+05,8.051815812914069102e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,4.000000000000000000e+01,3.457286432160803713e+01,1.323933412722763605e+07,3.694353603747044504e+07,1.456865837283935770e+07,7.703149660248310305e+06,3.391926212300981279e+05,8.232476453356859565e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,4.100000000000000000e+01,3.543718592964823699e+01,1.385294946618475951e+07,3.847228127193870395e+07,1.499544300388036855e+07,7.891860785862370394e+06,3.466867104441529373e+05,8.411088327648739505e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,4.200000000000000000e+01,3.630150753768844396e+01,1.447752443694571592e+07,4.001639817148290575e+07,1.541928886683749408e+07,8.078611991119428538e+06,3.540945206991644809e+05,8.587606926659107557e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,4.300000000000000000e+01,3.716582914572864382e+01,1.511282778971297294e+07,4.157496612436739355e+07,1.584001513002501987e+07,8.263355937396229245e+06,3.614142059711586917e+05,8.761988260914046259e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,4.400000000000000000e+01,3.803015075376884369e+01,1.575862600004247576e+07,4.314707243841257691e+07,1.625744888166751154e+07,8.446045949166111648e+06,3.686439421146475361e+05,8.934188871592533542e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,4.500000000000000000e+01,3.889447236180904355e+01,1.641468332418768667e+07,4.473181231892640144e+07,1.667142449409490265e+07,8.626635991921329871e+06,3.757819273186048376e+05,9.104165841389309207e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,4.600000000000000000e+01,3.975879396984924341e+01,1.708076185513508320e+07,4.632828885032620281e+07,1.708178305064169317e+07,8.805080656836332753e+06,3.828263825568316388e+05,9.271876805241695547e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,4.700000000000000000e+01,4.062311557788944327e+01,1.775662157933421433e+07,4.793561298136737943e+07,1.748837182926516235e+07,8.981335150764353573e+06,3.897755520326031256e+05,9.437279960917953576e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,4.800000000000000000e+01,4.148743718592965024e+01,1.844202043410178274e+07,4.955290351384397596e+07,1.789104383746088669e+07,9.155355290446968749e+06,3.966277036174895475e+05,9.600334079464511888e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,4.900000000000000000e+01,4.235175879396985010e+01,1.913671436566289142e+07,5.117928709459440410e+07,1.828965739356558397e+07,9.327097500044850633e+06,4.033811292842471739e+05,9.760998515509614663e+04
